,ID,Tweet,Timestamp,Likes,Retweets,Length,Date,Time
0,1497300372569739264,قبيل الاحتفال بـ اليوم الدولي لمراة تستعد كوكبة الفنانات الاستثناءيات وفرق موسيقية بقيادات نساءية لابهار زوار اكسبو  دبي عينك علا اكسبو   ,2022-02-25 20:00:01+00:00,1,0,198,2022-02-25,20:00:01
1,1497299670522994691, لحظات نزول دابانغ سلمان خان علا ارض المسرح اكسبو  يقف علا مجسم لجناحي صقر والتصفيق مستمر الجمهور   ,2022-02-25 19:57:14+00:00,2,0,207,2022-02-25,19:57:14
2,1497297255245754371,ليلة ميزة بانتظارنا   الحانها شرقية نجومها استثناءين   اكسبو,2022-02-25 19:47:38+00:00,0,0,232,2022-02-25,19:47:38
3,1497295489481510914,اصدق حفلة احلا فستان مستان انا بختار  واذا حفلة فبختار حفلة حفلات نانسي كلون حلوين يعني        ,2022-02-25 19:40:37+00:00,3,1,168,2022-02-25,19:40:37
4,1497290589800480779, جنون بعده جنون دابانغ سلمان خان يستعرض حشد كبير معجبينه اكسبو    ,2022-02-25 19:21:09+00:00,5,2,178,2022-02-25,19:21:09
5,1497289658564284418,اوركسترا الفردوس تمتع زوار اكسبو  دبي بعزفها لمجموعة منوعة الالحان والمقطوعات الموسيقية عينك علا اكسبو  ,2022-02-25 19:17:27+00:00,2,0,163,2022-02-25,19:17:27
6,1497288641428824073,اكسبو اكسبو دبي الامارات   جناح سلطنة عمان ارقا الاجنحة معرض اكسبو  ,2022-02-25 19:13:25+00:00,4,1,147,2022-02-25,19:13:25
7,1497284121957060608,ليلة  حتكون مليءة باحلا الانغام الشرقية كونوا علا الموعد نجومكم المفضلين  بشار الجواد اكسبو    ,2022-02-25 18:55:27+00:00,7,2,251,2022-02-25,18:55:27
8,1497273383461007364,انضموا الينا    حدثنا الراءد لمعرفة المزيد جودة وتنوع المنتجات الغذاءية الزراعية والبحرية المغربية سيتبع العرض بكوكتيل لتواصل يمكنكم تذوق الاطباق المغربية النموذجية والتواصل مثلي اعمال ومءسات بمجالات الزراعة والتغذية ,2022-02-25 18:12:47+00:00,1,0,277,2022-02-25,18:12:47
9,1497270659688407044,فعاليات فنية وثقافية احتفالا بالاعياد الوطنية جناح دولة الكويت بمعرض اكسبو  الكويت دبي جنة لنا كلنا الاعياد الوطنية  فبراير نرفع علمنا ونفتخر ,2022-02-25 18:01:57+00:00,0,0,199,2022-02-25,18:01:57
10,1497270174403149831,العين الاخبارية تستعرض ابرز احداث معرض اكسبو اليكم التفاصيل عينك علا اكسبو  ,2022-02-25 18:00:02+00:00,0,0,145,2022-02-25,18:00:02
11,1497269266235727879,ارض  دار العز الكويت اقدم الفيديو زيارتي لـ جناح الكويت هدية لكويت واهلها    بمناسبة العيد الوطني الكويتي  هند المشهور  فبراير عيد التحرير عيدي يا كويت جنة لنا كلنا لا وطن مثل الكويت العيد الوطني الكويتي  ,2022-02-25 17:56:25+00:00,1,1,303,2022-02-25,17:56:25
12,1497266644024016897, لقطه جميله وعفويه لسوبر ستار الطيف سلمان خان اكسبو وهوه يحمل ايات ابنت اربيتا خان  ,2022-02-25 17:46:00+00:00,9,4,178,2022-02-25,17:46:00
13,1497265188189442055,مانيش بول تقديم حفل دبانغ اكسبو دبي   ,2022-02-25 17:40:13+00:00,4,2,138,2022-02-25,17:40:13
14,1497261348975165445,بداية حفلة السوبر ستار سلمان خان اكسبو دبي تصوير المعجبين  ,2022-02-25 17:24:58+00:00,3,3,169,2022-02-25,17:24:58
15,1497259033505550337,اخر تحديث سلمان خان اكسبو المعجبات  ,2022-02-25 17:15:45+00:00,6,4,146,2022-02-25,17:15:45
16,1497255799181262848,فعاليات فنية وثقافية احتفالا بالاعياد الوطنية جناح دولة الكويت بمعرض اكسبو  الكويت دبي جنة لنا كلنا الاعياد الوطنية  فبراير نرفع علمنا ونفتخر  وزارة الاعلام الكويت ,2022-02-25 17:02:54+00:00,5,0,250,2022-02-25,17:02:54
17,1497247520585437185,طلاب الامارات ينالون جاءزة افضل عرض بصري لـ حملة الصحة النفسية والاجتماعية لكبار السن ختام اعمال مجلس الصحة الخليجي المقام اكسبو عينك علا اكسبو   ,2022-02-25 16:30:01+00:00,0,0,209,2022-02-25,16:30:01
18,1497244619939188739,حياتي    البرنسيسة ديانا حداد  دبي الامارات,2022-02-25 16:18:29+00:00,5,1,129,2022-02-25,16:18:29
19,1497238464412139521,نصب الشاب الجزاءري عيسا قريشي طاولة خشبية امامه واضعا لوحات رسمها مستمدا ادواتها تجود الطبيعة رمال وبدقة متناهية يبدا تشكيل حبيبات الرمل الملونة الرسم مستخدما الغراء ليحولها قطع فنية تنطق بالحياة وتستقطب زوار الجناح الجزاءري اكسبو   ,2022-02-25 15:54:01+00:00,0,0,303,2022-02-25,15:54:01
20,1497232420927647747,برفع العلم وعزف النشيد الوطني لدولة الامارات الكويت اكسبو يحتفي باليوم الوطني الكويتي عينك علا اكسبو   اكسبو,2022-02-25 15:30:01+00:00,4,5,173,2022-02-25,15:30:01
21,1497229671783665665,التغريدة رح اشاركم افضل الاعمال صمتها تجربة جديدة بالنسبة صعبة لغاية وفخور بتنفيذها تصميم   ,2022-02-25 15:19:05+00:00,12,1,192,2022-02-25,15:19:05
22,1497228053663129609,كونوا علا الموعد زياد برجي  بشار الجواد وداليدا خليل السبت مباشرة اكسبو دبي الساعة   علا تلفزيون زياد برجي بشار الجواد داليدا خليل  دبي الامارات اكسبو ,2022-02-25 15:12:39+00:00,9,3,293,2022-02-25,15:12:39
23,1497207455666814985,الامارات تبتكر اطلاق النظام الذكي صون لحماية الاساءة رابط التقرير عينك علا اكسبو   اكسبو ,2022-02-25 13:50:48+00:00,0,0,180,2022-02-25,13:50:48
24,1497207222803345408,فعاليات فنية وثقافية احتفالا بالاعياد الوطنية جناح دولة الكويت بمعرض اكسبو  خالد مهدي الامين العام لـ المجلس الاعلا لتخطيط والتنمية الكويت دبي اكسبو دبي   وزارة الاعلام الاخبار ,2022-02-25 13:49:53+00:00,0,0,243,2022-02-25,13:49:53
25,1497199154895810560,اكسبو دبي الاسبوع الجاري واصل تصديه لتحديات وقضايا الامن الغذاءي العالمي والبحث سبل تعزيز ونشر تقنيات الابتكار الزراعي عينك علا العالم عينك علا اكسبو   ,2022-02-25 13:17:49+00:00,0,0,215,2022-02-25,13:17:49
