index,ID,Tweet,Timestamp,Likes,Retweets,Length
0,1501622983495979009,"سمو الشيخ عبدالله بن زايد وزير الخارجية والتعاون الدولي أثناء زيارته لمعرض إكسبو 2020 في يوم المرأة العالمي 
#international_womens_day 
#expo2020dubai 
8/3/2022 @ Expo 2020 Dubai https://t.co/WKwQ2CLPMm",2022-03-09 18:16:32+00:00,0,0,202
1,1501622942291030016,"سعدت جدا بلقاء والسلام على سمو الشيخ عبدالله بن زايد وزير الخارجية والتعاون الدولي أثناء زيارته لمعرض إكسبو 2020 في يوم المرأة العالمي 
#international_womens_day 
#expo2020dubai 
8/3/2022 @ Expo 2020 Dubai https://t.co/D8DdgFaYXq",2022-03-09 18:16:22+00:00,0,0,229
2,1501621009677525001,"حسين الجسمي :

قاصد جداكم حافي يا حلوين المشم
ولكم ضميري صافي ولغيركم ما يضم

{EXPO DUBAI}",2022-03-09 18:08:42+00:00,0,0,90
3,1501613121219219457,"@HHShkMohd 🛑أخبار كبيرة🛑 - تعال ، أنت جاهز للحدث الكبير لأننا مدعومون رسميًا لمعرض إكسبو دبي (16 - 17 مارس / 2022)! ❤️‍🔥
https://t.co/R7k9VLzRoZ
CRYPTO EXPO DUBAI💯
https://t.co/Er90KF0pCJ
فستيفال أرينا ، دبي فستيفال سيتي
# دبي # Next1000XGems #ShamanKingInu",2022-03-09 17:37:21+00:00,5,2,257
4,1501612934501445638,"@HHShkMohd 🛑أخبار كبيرة🛑 - تعال ، أنت جاهز للحدث الكبير لأننا مدعومون رسميًا لمعرض إكسبو دبي (16 - 17 مارس / 2022)! ❤️‍🔥
https://t.co/uT53E2llZ0
CRYPTO EXPO DUBAI💯
https://t.co/FRBCsTE5Bs
فستيفال أرينا ، دبي فستيفال سيتي
# دبي # Next1000XGems #ShamanKingInu",2022-03-09 17:36:36+00:00,13,6,257
5,1501588118419361796,"حلقة نقاشية تركز على كيفية القضاء على الملاريا والأمراض المدارية المعدية في معرض #إكسبو2020 دبي، وذلك بالتزامن مع الاحتفال بـ #اليوم_العالمي_للمرأة

#عينك_على_إكسبو⁩
⁧#يوم_المرأة_العالمي⁩⁩
⁦#Expo2020 ⁩   ⁦@expo2020dubai⁩
https://t.co/Km8UYi33vV",2022-03-09 15:58:00+00:00,0,2,244
6,1501559294537383941,"نظم جناح المرأة في #إكسبو2020 دبي منتدى ""كسر التحيّز"" بمناسبة #اليوم_العالمي_للمرأة واحتفاء بالمساهمات الكبيرة للنساء في المجتمع

#عينك_على_إكسبو⁩
⁧#يوم_المرأة_العالمي⁩
⁦#InternationalWomenDay⁩
⁦#Expo2020 ⁩ ⁦@expo2020dubai⁩
https://t.co/UNWvS9lRhR",2022-03-09 14:03:28+00:00,1,0,247
7,1501544395836952577,"حقق برنامج أكاديمية رائدات الأعمال في #إكسبو2020 دبي نتائج مثمرة أسفرت عن مساعدة ودعم أكثر من 16 ألف سيدة أعمال في 80 دولة

للتفاصيل | https://t.co/8Q2R8SCwcN

⁧#عينك_على_إكسبو⁩
⁦@expo2020dubai⁩ ⁦#Expo2020 https://t.co/tc4qOV5cpe",2022-03-09 13:04:15+00:00,0,0,229
8,1501522640149925890,"الجناح الوطني في معرض إكسبو 2020 #جناح_دولة_الإمارات_العربية_المتحدة
@uaeatexpo 
@expo2020dubai
8/3/2022 @ Expo 2020 Dubai https://t.co/R0DBDIHljr",2022-03-09 11:37:49+00:00,0,0,146
9,1501522302286114821,"الجناح الوطني في معرض إكسبو 2020 #جناح_دولة_الإمارات_العربية_المتحدة
@uaeatexpo 
@expo2020dubai @ Expo 2020 Dubai https://t.co/zVU92JJkGa",2022-03-09 11:36:28+00:00,0,0,137
10,1501520675093114881,"القنصل العام للولايات المتحدة الأمريكية في #دبي: ""ساعد برنامج أكاديمية رائدات الأعمال في #إكسبو2020 أكثر من 16000 سيدة أعمال في 80 دولة حول العالم على تنمية أعمالهن والتكيف مع الواقع الاقتصادي الجديد""

#عينك_على_إكسبو
#يوم_المرأة_العالمي
@expo2020dubai 
https://t.co/2pkQz0zHlV",2022-03-09 11:30:00+00:00,2,1,277
11,1501515679505260544,"#إكسبو2020 #دبي يحصل على تكريم المعيار الدولي والأوروبي للمساواة بين الجنسَين الخاص بتنظيم الفعاليات https://t.co/cxAEYvo7Nm
@expo2020dubai https://t.co/oooH9H2e3V",2022-03-09 11:10:09+00:00,1,0,163
12,1501507228083310594,"النجم العالمي رامي مالك، الحائز على جائزة الأوسكار، يسجل حضورا لافتا في #إكسبو2020 #دبي بمناسبة #اليوم_العالمي_للمرأة

#عينك_على_إكسبو
#يوم_المرأة_العالمي
#InternationalWomenDay
#Expo2020 @expo2020dubai
https://t.co/b4ZcYeBrXM",2022-03-09 10:36:34+00:00,0,0,226
13,1501505574764171264,"رئيس جمهورية #غانا يشيد بالروابط التي أرساها #إكسبو2020 #دبي بين دولته ودولة #الإمارات وسائر دول العالم

للتفاصيل | https://t.co/70hZxmRfSh

#عينك_على_إكسبو
#Expo2020 @expo2020dubai https://t.co/gll5qId8PN",2022-03-09 10:30:00+00:00,1,0,205
14,1501486700303843330,"#إكسبو2020 #دبي يحصل على شهادة الاعتماد الأوروبي والدولي للمساواة بين الجنسين للفعاليات الكبيرة

#عينك_على_إكسبو
#يوم_المرأة_العالمي
#InternationalWomenDay
#Expo2020 @expo2020dubai
https://t.co/E2yGckzwVK",2022-03-09 09:15:00+00:00,5,4,204
15,1501482710799368193,@L6ifah_ بقولج شي انا اروح في Expo Dubai pass و اطلع اخضر فمحد يحس 🌚,2022-03-09 08:59:09+00:00,0,0,68
16,1501469683731550208,"ورشة عمل في الجناح اللبناني في EXPO دبي
#imlebanon 
#لبنان
https://t.co/4w3h3oNr0a",2022-03-09 08:07:23+00:00,0,0,82
17,1501465834421559300,"إنها إحدى حافلات إكسبو التي تساعدك على الوصول إلى #إكسبو2020 من #دبي والإمارات الأخرى. تأكّد من حصولك على ""تذكرة العودة"" من المشرفين في المحطات عند استخدام هذه الحافلات لتكون لك الأولوية بالصعود على متن الحافلة في رحلة العودة.
للمزيد: https://t.co/LwaLjuRNCR https://t.co/cjdMM9YCNA",2022-03-09 07:52:05+00:00,3,1,282
18,1501438119392202753,"وصول إجمالي عدد الزيارات لـ #إكسبو2020 #دبي إلى 17.4 مليون زيارة، بزيادة بلغت 1.4 مليون زيارة في أسبوع واحد، مدفوعة بمجموعة رائعة من الفعاليات والفنانين. https://t.co/2QTthmAFEx
#سياحة @expo2020dubai https://t.co/vSJ7F2J9Le",2022-03-09 06:01:57+00:00,5,0,223
19,1501436959637782530,"بدءاً من رواد الفضاء وصولاً إلى الفنانين.. الخبرات الإماراتية تجعل من #إكسبو2020 #دبي قصة نجاح وطنية https://t.co/2QTthmAFEx
#سياحة @expo2020dubai https://t.co/7qekNKstvA",2022-03-09 05:57:21+00:00,3,0,170
20,1501308092323188737,صورة مميزة لموظّفات إكسبو دبي احتفالا باليوم الدولي للمرأة - العين الإخبارية https://t.co/1xT7NjbQeH,2022-03-08 21:25:16+00:00,0,0,100
